id,name,category,amount,signup_date
1,Customer 1,West,20,2024-01-15
2,Customer 2,east,10,2024-01-15
3,Customer 3,EAST,10,2024-01-15
4,Customer 4,EAST,-999999,2024-01-15
5,Customer 5,South,-999999,2024-01-15
6,Customer 6,EAST,10,2024-01-15
7,Customer 7,EAST,10,31/02/2024
8,Customer 8,West,-999999,2024-01-15
9,Customer 9,unknown,10,2024-01-15
10,Customer 10,east,-999999,2024-01-15
11,Customer 11,West,20,2024-01-15
12,Customer 12,east,10,2024-01-15
13,  Customer 13  ,North,10,2024-01-15
14,Customer 14,unknown,10,31/02/2024
15,Customer 15,North,"1,000",2024-01-15
16,Customer 16,unknown,-999999,2024-01-15
17,Customer 17,EAST,20,2024-01-15
18,Customer 18,West,10,2024-01-15
19,Customer 19,EAST,20,2024-01-15
20,Customer 20,West,-999999,2024-01-15
21,Customer 21,east,20,31/02/2024
22,Customer 22,unknown,20,2024-01-15
23,Customer 23,EAST,20,2024-01-15
24,Customer 24,North,N/A,2024-01-15
25,Customer 25,West,-999999,2024-01-15
26,  Customer 26  ,South,10,2024-01-15
27,Customer 27,North,N/A,2024-01-15
28,Customer 28,unknown,N/A,31/02/2024
29,Customer 29,EAST,"1,000",2024-01-15
30,Customer 30,unknown,"1,000",2024-01-15
31,Customer 31,east,20,2024-01-15
32,Customer 32,West,N/A,2024-01-15
33,Customer 33,West,-999999,2024-01-15
34,Customer 34,West,-999999,2024-01-15
35,Customer 35,EAST,10,31/02/2024
36,Customer 36,unknown,20,2024-01-15
37,Customer 37,EAST,-999999,2024-01-15
38,Customer 38,east,20,2024-01-15
39,  Customer 39  ,unknown,"1,000",2024-01-15
40,Customer 40,North,N/A,2024-01-15
41,Customer 41,unknown,-999999,2024-01-15
42,Customer 42,North,"1,000",31/02/2024
43,Customer 43,West,20,2024-01-15
44,Customer 44,east,-999999,2024-01-15
45,Customer 45,unknown,-999999,2024-01-15
46,Customer 46,EAST,10,2024-01-15
47,Customer 47,east,10,2024-01-15
48,Customer 48,West,"1,000",2024-01-15
49,Customer 49,EAST,"1,000",31/02/2024
50,Customer 50,South,20,2024-01-15
51,Customer 51,South,"1,000",2024-01-15
52,  Customer 52  ,South,10,2024-01-15
53,Customer 53,West,"1,000",2024-01-15
54,Customer 54,EAST,20,2024-01-15
55,Customer 55,east,"1,000",2024-01-15
56,Customer 56,east,"1,000",31/02/2024
57,Customer 57,east,-999999,2024-01-15
58,Customer 58,West,"1,000",2024-01-15
59,Customer 59,EAST,10,2024-01-15
60,Customer 60,South,"1,000",2024-01-15
61,Customer 61,West,"1,000",2024-01-15
62,Customer 62,EAST,20,2024-01-15
63,Customer 63,EAST,10,31/02/2024
64,Customer 64,West,N/A,2024-01-15
65,  Customer 65  ,South,"1,000",2024-01-15
66,Customer 66,EAST,"1,000",2024-01-15
67,Customer 67,east,-999999,2024-01-15
68,Customer 68,east,-999999,2024-01-15
69,Customer 69,West,10,2024-01-15
70,Customer 70,West,"1,000",31/02/2024
71,Customer 71,east,"1,000",2024-01-15
72,Customer 72,West,-999999,2024-01-15
73,Customer 73,South,10,2024-01-15
74,Customer 74,West,20,2024-01-15
75,Customer 75,South,"1,000",2024-01-15
76,Customer 76,West,10,2024-01-15
77,Customer 77,North,N/A,31/02/2024
