a,b,c,d
,N/A,abc,31/02/2024
1,val_1,1.5,2024-01-01
2,val_2,3.0,2024-01-01
3,val_3,4.5,2024-01-01
4,N/A,6.0,2024-01-01
,val_5,7.5,2024-01-01
6,val_6,abc,2024-01-01
7,val_7,10.5,2024-01-01
8,N/A,12.0,31/02/2024
9,val_9,13.5,2024-01-01
,val_10,15.0,2024-01-01
11,val_11,16.5,2024-01-01
12,N/A,abc,2024-01-01
13,val_13,19.5,2024-01-01
14,val_14,21.0,2024-01-01
,val_15,22.5,2024-01-01
16,N/A,24.0,31/02/2024
17,val_17,25.5,2024-01-01
18,val_18,abc,2024-01-01
19,val_19,28.5,2024-01-01
,N/A,30.0,2024-01-01
21,val_21,31.5,2024-01-01
22,val_22,33.0,2024-01-01
23,val_23,34.5,2024-01-01
24,N/A,abc,31/02/2024
,val_25,37.5,2024-01-01
26,val_26,39.0,2024-01-01
27,val_27,40.5,2024-01-01
28,N/A,42.0,2024-01-01
29,val_29,43.5,2024-01-01
,val_30,abc,2024-01-01
31,val_31,46.5,2024-01-01
32,N/A,48.0,31/02/2024
33,val_33,49.5,2024-01-01
34,val_34,51.0,2024-01-01
,val_35,52.5,2024-01-01
36,N/A,abc,2024-01-01
37,val_37,55.5,2024-01-01
38,val_38,57.0,2024-01-01
39,val_39,58.5,2024-01-01
,N/A,60.0,31/02/2024
41,val_41,61.5,2024-01-01
42,val_42,abc,2024-01-01
43,val_43,64.5,2024-01-01
44,N/A,66.0,2024-01-01
,val_45,67.5,2024-01-01
46,val_46,69.0,2024-01-01
47,val_47,70.5,2024-01-01
48,N/A,abc,31/02/2024
49,val_49,73.5,2024-01-01
,val_50,75.0,2024-01-01
51,val_51,76.5,2024-01-01
52,N/A,78.0,2024-01-01
53,val_53,79.5,2024-01-01
54,val_54,abc,2024-01-01
,val_55,82.5,2024-01-01
56,N/A,84.0,31/02/2024
57,val_57,85.5,2024-01-01
58,val_58,87.0,2024-01-01
59,val_59,88.5,2024-01-01
,N/A,abc,2024-01-01
61,val_61,91.5,2024-01-01
62,val_62,93.0,2024-01-01
63,val_63,94.5,2024-01-01
64,N/A,96.0,31/02/2024
,val_65,97.5,2024-01-01
66,val_66,abc,2024-01-01
67,val_67,100.5,2024-01-01
68,N/A,102.0,2024-01-01
69,val_69,103.5,2024-01-01
,val_70,105.0,2024-01-01
71,val_71,106.5,2024-01-01
72,N/A,abc,31/02/2024
73,val_73,109.5,2024-01-01
74,val_74,111.0,2024-01-01
,val_75,112.5,2024-01-01
76,N/A,114.0,2024-01-01
77,val_77,115.5,2024-01-01
78,val_78,abc,2024-01-01
79,val_79,118.5,2024-01-01
,N/A,120.0,31/02/2024
81,val_81,121.5,2024-01-01
82,val_82,123.0,2024-01-01
83,val_83,124.5,2024-01-01
84,N/A,abc,2024-01-01
,val_85,127.5,2024-01-01
86,val_86,129.0,2024-01-01
87,val_87,130.5,2024-01-01
88,N/A,132.0,31/02/2024
89,val_89,133.5,2024-01-01
,val_90,abc,2024-01-01
91,val_91,136.5,2024-01-01
92,N/A,138.0,2024-01-01
93,val_93,139.5,2024-01-01
94,val_94,141.0,2024-01-01
,val_95,142.5,2024-01-01
96,N/A,abc,31/02/2024
97,val_97,145.5,2024-01-01
98,val_98,147.0,2024-01-01
99,val_99,148.5,2024-01-01
,N/A,150.0,2024-01-01
101,val_101,151.5,2024-01-01
102,val_102,abc,2024-01-01
103,val_103,154.5,2024-01-01
104,N/A,156.0,31/02/2024
,val_105,157.5,2024-01-01
106,val_106,159.0,2024-01-01
107,val_107,160.5,2024-01-01
108,N/A,abc,2024-01-01
109,val_109,163.5,2024-01-01
,val_110,165.0,2024-01-01
111,val_111,166.5,2024-01-01
112,N/A,168.0,31/02/2024
113,val_113,169.5,2024-01-01
114,val_114,abc,2024-01-01
,val_115,172.5,2024-01-01
116,N/A,174.0,2024-01-01
117,val_117,175.5,2024-01-01
118,val_118,177.0,2024-01-01
119,val_119,178.5,2024-01-01
,N/A,abc,31/02/2024
121,val_121,181.5,2024-01-01
122,val_122,183.0,2024-01-01
123,val_123,184.5,2024-01-01
124,N/A,186.0,2024-01-01
,val_125,187.5,2024-01-01
126,val_126,abc,2024-01-01
127,val_127,190.5,2024-01-01
128,N/A,192.0,31/02/2024
129,val_129,193.5,2024-01-01
,val_130,195.0,2024-01-01
131,val_131,196.5,2024-01-01
132,N/A,abc,2024-01-01
133,val_133,199.5,2024-01-01
134,val_134,201.0,2024-01-01
,val_135,202.5,2024-01-01
136,N/A,204.0,31/02/2024
137,val_137,205.5,2024-01-01
138,val_138,abc,2024-01-01
139,val_139,208.5,2024-01-01
,N/A,210.0,2024-01-01
141,val_141,211.5,2024-01-01
142,val_142,213.0,2024-01-01
143,val_143,214.5,2024-01-01
144,N/A,abc,31/02/2024
,val_145,217.5,2024-01-01
146,val_146,219.0,2024-01-01
147,val_147,220.5,2024-01-01
148,N/A,222.0,2024-01-01
149,val_149,223.5,2024-01-01
,val_150,abc,2024-01-01
151,val_151,226.5,2024-01-01
152,N/A,228.0,31/02/2024
153,val_153,229.5,2024-01-01
154,val_154,231.0,2024-01-01
,val_155,232.5,2024-01-01
156,N/A,abc,2024-01-01
157,val_157,235.5,2024-01-01
158,val_158,237.0,2024-01-01
159,val_159,238.5,2024-01-01
,N/A,240.0,31/02/2024
161,val_161,241.5,2024-01-01
162,val_162,abc,2024-01-01
163,val_163,244.5,2024-01-01
164,N/A,246.0,2024-01-01
,val_165,247.5,2024-01-01
166,val_166,249.0,2024-01-01
